2026-06-15 13:06:53,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:06:53,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:07:21,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:07:21,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:08:16,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:08:16,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:08:42,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:08:42,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:10:00,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:10:00,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:10:17,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:10:17,Office Page,GetOfficeList,pq: column o.officgfe_name does not exist (42703)
2026-06-15 13:22:33,Office Page,GetOfficeList,pq: COALESCE types character varying and bigint cannot be matched at position 3:60 (42804)
2026-06-15 13:22:33,Office Page,GetOfficeList,pq: COALESCE types character varying and bigint cannot be matched at position 3:60 (42804)
2026-06-15 13:29:04,Office Page,SaveUpdateOffice,nodal officer mobile number must be 10 digits
2026-06-15 13:30:35,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-15 13:30:40,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-15 13:30:45,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-15 13:30:53,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
